GHHK01016803_1__124_1482___	PTHR10357	SF:PTHR10357:SF196;NAME:Maltase A2;
GHHK01004720_1__91_2853___	PTHR10943	SF:PTHR10943:SF1;NAME:26S proteasome non-ATPase regulatory subunit 2;  GO-Annotations:GO:0034515;GO:0008540;GO:0004175;GO:0005634;GO:0043161;
GHHK01005005_1__113_3961___	PTHR12195	SF:PTHR12195:SF0;NAME:Cytoplasmic FMR1-interacting protein;  GO-Annotations:GO:0000340;GO:0007411;GO:0030031;GO:0000902;GO:0031209;
GHHK01017744_1__201_3380___	PTHR13170	SF:PTHR13170:SF16;NAME:Protein O-GlcNAcase;
GHHK01017652_1__123_14087___	PTHR10676	SF:PTHR10676:SF314;NAME:Cytoplasmic dynein 1 heavy chain 1;  GO-Annotations:GO:0008569;GO:0045503;GO:0072382;GO:0051959;GO:0030286;GO:0005868;GO:0031122;GO:0045505;GO:0007018;
GHHK01008160_1__97_768___	PTHR21713	SF:PTHR21713:SF4;NAME:Hmr-related;
GHHK01018060_1__1_972___	PTHR11670	SF:PTHR11670:SF1;NAME:Aconitate hydratase;
GHHK01007471_1__123_800___	PTHR11670	SF:PTHR11670:SF1;NAME:Aconitate hydratase;
GHHK01013600_1__2_1108___	PTHR11670	SF:PTHR11670:SF1;NAME:Aconitate hydratase;
GHHK01017371_1__94_1284___	PTHR43888	SF:PTHR43888:SF17;NAME:DnaJ-like-2, isoform A;  GO-Annotations:GO:0005829;
GHHK01016636_1__158_1183___	PTHR43888	SF:PTHR43888:SF10;NAME:DnaJ homolog subfamily A member 2;  GO-Annotations:GO:0005829;
GHHK01010164_1__157_1803___	PTHR19443	SF:PTHR19443:SF53;NAME:Hexokinase type 1-related;  GO-Annotations:GO:0006096;GO:0008865;GO:0001678;GO:0004340;GO:0019158;GO:0005829;
GHHK01013969_1__43_2619___	PTHR42735	SF:PTHR42735:SF1;NAME:Pyridoxal-dependent decarboxylase domain-containing protein 1-related;
GHHK01007906_1__1_396___	PTHR11961	SF:PTHR11961:SF12;NAME:Cytochrome c;  GO-Annotations:GO:0006123;GO:0006122;GO:0043280;GO:0005758;
GHHK01006786_1__113_997___	PTHR11693	SF:PTHR11693:SF22;NAME:ATP synthase subunit gamma, mitochondrial;
GHHK01017867_1__139_1065___	PTHR11935	SF:PTHR11935:SF94;NAME:Hydroxyacylglutathione hydrolase, cytoplasmic isozyme-related;
GHHK01014571_1__1_540___	PTHR11935	SF:PTHR11935:SF94;NAME:Hydroxyacylglutathione hydrolase, cytoplasmic isozyme-related;
GHHK01021772_1__202_828___	PTHR22811	SF:PTHR22811:SF58;NAME:Transmembrane emp24 domain-containing protein 10;
GHHK01003455_1__3_662___	PTHR22811	SF:PTHR22811:SF14;NAME:LP01981p-related;
GHHK01025347_1__1_315___	PTHR11937	SF:PTHR11937:SF356;NAME:;
GHHK01017011_1__1_417___	PTHR11937	SF:PTHR11937:SF155;NAME:Actin-5C-related;
GHHK01001555_1__1_414___	PTHR11937	SF:PTHR11937:SF162;NAME:Actin, larval muscle-related;
GHHK01004916_1__76_1263___	PTHR11937	SF:PTHR11937:SF37;NAME:Actin-related protein 2;
GHHK01029314_1__60_1040___	PTHR11937	SF:PTHR11937:SF356;NAME:;
GHHK01013256_1__3_509___	PTHR11937	SF:PTHR11937:SF356;NAME:;
GHHK01002739_1__3_902___	PTHR11937	SF:PTHR11937:SF155;NAME:Actin-5C-related;
GHHK01016451_1__3_497___	PTHR11937	SF:PTHR11937:SF155;NAME:Actin-5C-related;
GHHK01008346_1__1_633___	PTHR11937	SF:PTHR11937:SF368;NAME:Actin, indirect flight muscle;
GHHK01021786_1__1_414___	PTHR11937	SF:PTHR11937:SF356;NAME:;
GHHK01001815_1__56_373___	PTHR11937	SF:PTHR11937:SF274;NAME:Brahma associated protein 55kD;
GHHK01025339_1__1_522___	PTHR11937	SF:PTHR11937:SF274;NAME:Brahma associated protein 55kD;
GHHK01001895_1__1_300___	PTHR11937	SF:PTHR11937:SF202;NAME:;
GHHK01006487_1__3_629___	PTHR11937	SF:PTHR11937:SF274;NAME:Brahma associated protein 55kD;
GHHK01022637_1__3_884___	PTHR11937	SF:PTHR11937:SF274;NAME:Brahma associated protein 55kD;
GHHK01006379_1__166_1422___	PTHR11937	SF:PTHR11937:SF31;NAME:Actin-related protein 3;
GHHK01014528_1__90_1049___	PTHR10534	SF:PTHR10534:SF2;NAME:Pyridoxal kinase;  GO-Annotations:GO:0008478;GO:0009443;GO:0005829;
GHHK01015254_1__104_1987___	PTHR44088	SF:PTHR44088:SF1;NAME:Syncrip, isoform Q;
GHHK01027045_1__3_1061___	PTHR10540	SF:PTHR10540:SF7;NAME:26S proteasome non-ATPase regulatory subunit 7;  GO-Annotations:GO:0000502;GO:0043161;
GHHK01009014_1__109_1872___	PTHR23281	SF:PTHR23281:SF18;NAME:Moesin/ezrin/radixin homolog 1;
GHHK01007639_1__961_5085___	PTHR44968	SF:PTHR44968:SF2;NAME:Plectin;
GHHK01018727_1__3_548___	PTHR42693	SF:PTHR42693:SF17;NAME:;
GHHK01013801_1__59_421___	PTHR22802	SF:PTHR22802:SF326;NAME:;
GHHK01027419_1__3_476___	PTHR22802	SF:PTHR22802:SF315;NAME:;
GHHK01013999_1__131_757___	PTHR22802	SF:PTHR22802:SF319;NAME:;
GHHK01014723_1__331_801___	PTHR22802	SF:PTHR22802:SF280;NAME:AT03573p-related;
GHHK01019889_1__2_307___	PTHR22802	SF:PTHR22802:SF280;NAME:AT03573p-related;
GHHK01005739_1__1_378___	PTHR22802	SF:PTHR22802:SF271;NAME:Lectin-33A;
GHHK01020027_1__1_1041___	PTHR12299	SF:PTHR12299:SF17;NAME:AT19571p-related;
GHHK01016517_1__152_715___	PTHR12299	SF:PTHR12299:SF17;NAME:AT19571p-related;
GHHK01004861_1__2_556___	PTHR12299	SF:PTHR12299:SF17;NAME:AT19571p-related;
GHHK01014454_1__1_810___	PTHR12299	SF:PTHR12299:SF17;NAME:AT19571p-related;
GHHK01000554_1__74_2458___	PTHR21357	SF:PTHR21357:SF4;NAME:Protein FAM172A;  GO-Annotations:GO:0031048;GO:0035197;GO:0005634;GO:0031047;GO:0000775;
GHHK01020637_1__94_654___	PTHR10707	SF:PTHR10707:SF10;NAME:Cytochrome c oxidase subunit IV isoform 1;  GO-Annotations:GO:0006123;GO:0004129;GO:0005751;
GHHK01020645_1__67_627___	PTHR10707	SF:PTHR10707:SF10;NAME:Cytochrome c oxidase subunit IV isoform 1;  GO-Annotations:GO:0006123;GO:0004129;GO:0005751;
GHHK01016455_1__248_1243___	PTHR43153	SF:PTHR43153:SF1;NAME:Electron transfer flavoprotein subunit alpha, mitochondrial;  GO-Annotations:GO:0050660;GO:0009055;GO:0033539;GO:0005739;GO:0016491;
GHHK01010285_1__51_470___	PTHR11994	SF:PTHR11994:SF8;NAME:60S ribosomal protein L11;  GO-Annotations:GO:0003735;GO:0044822;GO:0000027;GO:0022625;
GHHK01019770_1__149_781___	PTHR43933	SF:PTHR43933:SF4;NAME:LD40489p;
GHHK01009081_1__142_669___	PTHR43933	SF:PTHR43933:SF4;NAME:LD40489p;
GHHK01018310_1__1_744___	PTHR11311	SF:PTHR11311:SF15;NAME:Spondin-2;
GHHK01011623_1__116_3184___	PTHR19876	SF:PTHR19876:SF2;NAME:Coatomer subunit beta';  GO-Annotations:GO:0030126;GO:0006886;GO:0006891;GO:0006890;GO:0006888;
GHHK01009403_1__403_4215___	PTHR19876	SF:PTHR19876:SF1;NAME:Coatomer subunit alpha;  GO-Annotations:GO:0030126;GO:0006886;GO:0006891;GO:0006890;GO:0006888;
GHHK01010702_1__178_627___	PTHR14949	SF:PTHR14949:SF14;NAME:LD16414p;  GO-Annotations:GO:0005102;GO:0005576;GO:0050789;GO:0009986;GO:0048856;
GHHK01000852_1__104_1084___	PTHR22981	SF:PTHR22981:SF7;NAME:3-hydroxyisobutyrate dehydrogenase, mitochondrial;  GO-Annotations:GO:0016616;GO:0008442;GO:0006574;GO:0005739;
GHHK01006421_1__105_1343___	PTHR11073	SF:PTHR11073:SF2;NAME:Calreticulin;
GHHK01006097_1__42_1910___	PTHR11073	SF:PTHR11073:SF1;NAME:Calnexin 14D-related;
GHHK01000120_1__134_655___	PTHR12587	SF:PTHR12587:SF14;NAME:AT31531p;
GHHK01019226_1__1_1224___	PTHR11822	SF:PTHR11822:SF21;NAME:Isocitrate dehydrogenase [NADP] cytoplasmic;
GHHK01020280_1__87_1418___	PTHR11822	SF:PTHR11822:SF11;NAME:Isocitrate dehydrogenase [NADP], mitochondrial;
GHHK01007136_1__83_1228___	PTHR10804	SF:PTHR10804:SF11;NAME:Proliferation-associated protein 2G4;
GHHK01014981_1__1_324___	PTHR21569	SF:PTHR21569:SF4;NAME:40S ribosomal protein S16;  GO-Annotations:GO:0015935;GO:0003735;GO:0000462;GO:0044822;GO:0022627;
GHHK01023919_1__2_451___	PTHR21569	SF:PTHR21569:SF4;NAME:40S ribosomal protein S16;  GO-Annotations:GO:0015935;GO:0003735;GO:0000462;GO:0044822;GO:0022627;
GHHK01014733_1__185_1147___	PTHR11586	SF:PTHR11586:SF33;NAME:Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;  GO-Annotations:GO:0017102;GO:0000049;GO:0006418;GO:0017101;
GHHK01013485_1__305_1243___	PTHR11931	SF:PTHR11931:SF0;NAME:AT20876p-related;  GO-Annotations:GO:0046538;GO:0006096;GO:0006094;GO:0043456;GO:0005829;
GHHK01006699_1__47_1249___	PTHR11014	SF:PTHR11014:SF106;NAME:Aminoacylase-1-related;
GHHK01007312_1__316_1419___	PTHR10971	SF:PTHR10971:SF11;NAME:mRNA export factor;  GO-Annotations:GO:0005643;GO:0003723;GO:0006405;GO:0000972;GO:0043130;
GHHK01015734_1__2_1438___	PTHR21258	SF:PTHR21258:SF52;NAME:;
GHHK01025807_1__2_943___	PTHR23189	SF:PTHR23189:SF41;NAME:BcDNA.GH11110;  GO-Annotations:GO:0000398;GO:0005634;GO:0003676;
GHHK01015581_1__186_3272___	PTHR23189	SF:PTHR23189:SF51;NAME:Splicing factor, proline- and glutamine-rich;  GO-Annotations:GO:0000398;GO:0006355;GO:0000976;GO:0005634;GO:0003676;
GHHK01019033_1__162_2981___	PTHR23189	SF:PTHR23189:SF51;NAME:Splicing factor, proline- and glutamine-rich;  GO-Annotations:GO:0000398;GO:0006355;GO:0000976;GO:0005634;GO:0003676;
GHHK01004358_1__93_1628___	PTHR10055	SF:PTHR10055:SF1;NAME:Tryptophan--tRNA ligase, cytoplasmic;  GO-Annotations:GO:0004830;GO:0005737;GO:0006436;
GHHK01014034_1__21_1178___	PTHR19143	SF:PTHR19143:SF323;NAME:;
GHHK01025772_1__1_1056___	PTHR19143	SF:PTHR19143:SF327;NAME:;
GHHK01011316_1__88_693___	PTHR12859	SF:PTHR12859:SF0;NAME:Jwa ortholog;
GHHK01014243_1__98_1285___	PTHR11808	SF:PTHR11808:SF15;NAME:Cystathionine gamma-lyase;  GO-Annotations:GO:0005737;GO:0030170;GO:0003962;GO:0019346;GO:0071266;GO:0019343;GO:0004123;
GHHK01015941_1__1_1632___	PTHR11878	SF:PTHR11878:SF45;NAME:Na/Ca eXchangers;
GHHK01000390_1__27_371___	PTHR45095	SF:PTHR45095:SF2;NAME:Polyubiquitin 4;
GHHK01019058_1__112_1365___	PTHR10366	SF:PTHR10366:SF487;NAME:Tetraketide alpha-pyrone reductase 1;
GHHK01003714_1__75_530___	PTHR11880	SF:PTHR11880:SF2;NAME:40S ribosomal protein S15;  GO-Annotations:GO:0003735;GO:0000028;GO:0022627;
GHHK01010415_1__155_1417___	PTHR42808	SF:PTHR42808:SF3;NAME:Hydroxysteroid dehydrogenase-like protein 2;
GHHK01005525_1__96_1670___	PTHR43866	SF:PTHR43866:SF3;NAME:Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial;  GO-Annotations:GO:0018478;GO:0004491;
GHHK01006390_1__1_711___	PTHR22749	SF:PTHR22749:SF2;NAME:Riboflavin kinase;
GHHK01018910_1__202_858___	PTHR43963	SF:PTHR43963:SF4;NAME:Carbonyl reductase 1-related;
GHHK01026493_1__100_1221___	PTHR43691	SF:PTHR43691:SF3;NAME:Uridine phosphorylase 1;
GHHK01001957_1__238_675___	PTHR12589	SF:PTHR12589:SF1;NAME:6-pyruvoyl tetrahydrobiopterin synthase;  GO-Annotations:GO:0006729;GO:0003874;GO:0005739;
GHHK01010036_1__1_1719___	PTHR18929	SF:PTHR18929:SF40;NAME:Protein disulfide-isomerase;  GO-Annotations:GO:0005783;GO:0034976;GO:0003756;GO:0006457;GO:1902175;GO:0031545;
GHHK01011653_1__101_1393___	PTHR18929	SF:PTHR18929:SF184;NAME:Endoplasmic reticulum resident protein 44;  GO-Annotations:GO:0005783;GO:0034976;GO:0003756;GO:0006457;
GHHK01005317_1__163_1053___	PTHR18929	SF:PTHR18929:SF122;NAME:DumPY: shorter than wild-type;  GO-Annotations:GO:0005783;GO:0034976;GO:0003756;GO:0006457;
GHHK01001082_1__141_1403___	PTHR23354	SF:PTHR23354:SF62;NAME:Mustard, isoform V;
GHHK01017623_1__985_1617___	PTHR24256	;
GHHK01014647_1__150_1343___	PTHR24256	SF:PTHR24256:SF445;NAME:;
GHHK01029860_1__2_1177___	PTHR24256	SF:PTHR24256:SF445;NAME:;
GHHK01006650_1__288_1403___	PTHR24256	SF:PTHR24256:SF437;NAME:Serine protease 7, isoform A;
GHHK01013433_1__158_712___	PTHR23147	SF:PTHR23147:SF43;NAME:DXl6 protein;
GHHK01011331_1__2_637___	PTHR23147	SF:PTHR23147:SF43;NAME:DXl6 protein;
GHHK01020639_1__97_1515___	PTHR11739	SF:PTHR11739:SF8;NAME:Citrate synthase, mitochondrial;
GHHK01015609_1__119_586___	PTHR10701	SF:PTHR10701:SF0;NAME:Small nuclear ribonucleoprotein-associated protein B';  GO-Annotations:GO:0005685;GO:0005686;GO:0005737;GO:0000398;GO:0071004;GO:0046540;GO:0005687;GO:0071013;GO:0005682;
GHHK01015120_1__144_707___	PTHR11710	SF:PTHR11710:SF0;NAME:40S ribosomal protein S19;  GO-Annotations:GO:0003735;GO:0044822;GO:0000028;GO:0022627;
GHHK01018960_1__173_1303___	PTHR10709	SF:PTHR10709:SF2;NAME:Actin related complex p41 subunit;  GO-Annotations:GO:0051015;GO:0034314;GO:0005885;
GHHK01015802_1__50_1147___	PTHR11627	SF:PTHR11627:SF20;NAME:Fructose-bisphosphate aldolase;
GHHK01012862_1__149_1129___	PTHR11627	SF:PTHR11627:SF20;NAME:Fructose-bisphosphate aldolase;
GHHK01014268_1__113_2308___	PTHR13856	SF:PTHR13856:SF100;NAME:Hepatocyte growth factor-regulated tyrosine kinase substrate;
GHHK01007236_1__1_1539___	PTHR13856	SF:PTHR13856:SF94;NAME:ADP-ribosylation factor-binding protein GGA1-related;
GHHK01001854_1__95_904___	PTHR10219	SF:PTHR10219:SF43;NAME:Accelerated cell death 11;
GHHK01013312_1__115_1197___	PTHR11835	SF:PTHR11835:SF34;NAME:Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial;
GHHK01019720_1__165_1331___	PTHR11835	SF:PTHR11835:SF42;NAME:Isocitrate dehydrogenase [NAD] subunit, mitochondrial;
GHHK01012425_1__115_1263___	PTHR11835	SF:PTHR11835:SF57;NAME:Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial;
GHHK01012566_1__26_673___	PTHR43503	SF:PTHR43503:SF4;NAME:Peroxiredoxin-6;  GO-Annotations:GO:0045454;GO:0005515;GO:0006979;GO:0034599;GO:0042744;GO:0005829;GO:0005739;GO:0004601;
GHHK01010269_1__443_1882___	PTHR44018	SF:PTHR44018:SF3;NAME:Hnrnpl protein;
GHHK01007564_1__2_643___	PTHR44540	SF:PTHR44540:SF3;NAME:IP12536p;
GHHK01015669_1__1_1200___	PTHR44540	SF:PTHR44540:SF2;NAME:LP21446p-related;
GHHK01019869_1__63_1292___	PTHR44540	SF:PTHR44540:SF3;NAME:IP12536p;
GHHK01010607_1__1_858___	PTHR44540	
GHHK01012363_1__1_987___	PTHR44540	SF:PTHR44540:SF2;NAME:LP21446p-related;
GHHK01007559_1__2_1216___	PTHR44540	
GHHK01005444_1__2_667___	PTHR44540	
GHHK01022242_1__1_357___	PTHR11633	SF:PTHR11633:SF1;NAME:LD28763p;  GO-Annotations:GO:0005615;GO:0031954;GO:0070851;GO:0008284;
GHHK01026766_1__1_408___	PTHR11633	SF:PTHR11633:SF1;NAME:LD28763p;  GO-Annotations:GO:0005615;GO:0031954;GO:0070851;GO:0008284;
GHHK01013048_1__66_1223___	PTHR11633	SF:PTHR11633:SF1;NAME:LD28763p;  GO-Annotations:GO:0005615;GO:0031954;GO:0070851;GO:0008284;
GHHK01026763_1__1_444___	PTHR11633	SF:PTHR11633:SF1;NAME:LD28763p;  GO-Annotations:GO:0005615;GO:0031954;GO:0070851;GO:0008284;
GHHK01008839_1__83_1648___	PTHR15184	SF:PTHR15184:SF44;NAME:ATP synthase subunit beta, mitochondrial;
GHHK01016486_1__118_927___	PTHR10351	SF:PTHR10351:SF23;NAME:Transcription factor BTF3;
GHHK01015431_1__234_3686___	PTHR20856	SF:PTHR20856:SF8;NAME:DNA-directed RNA polymerase III subunit RPC2;  GO-Annotations:GO:0003899;GO:0001056;GO:0005666;
GHHK01000786_1__468_1262___	PTHR24342	SF:PTHR24342:SF12;NAME:Death-associated protein kinase related;  GO-Annotations:GO:0005524;GO:0005634;GO:0004674;
GHHK01013057_1__85_1173___	PTHR11006	SF:PTHR11006:SF53;NAME:Arginine methyltransferase 1-related;  GO-Annotations:GO:0035242;GO:0019919;GO:0006355;GO:0005829;GO:0008469;GO:0034969;
GHHK01012493_1__45_458___	PTHR10768	SF:PTHR10768:SF5;NAME:Cytochrome c oxidase assembly factor 1 homolog;  GO-Annotations:GO:0003723;GO:0022625;
GHHK01008776_1__85_696___	PTHR10476	SF:PTHR10476:SF2;NAME:Charged multivesicular body protein 1b;
GHHK01026835_1__112_1464___	PTHR10160	SF:PTHR10160:SF19;NAME:Nicotinamide Nucleotide Transhydrogenase;  GO-Annotations:GO:0008750;GO:0006740;GO:0051287;GO:0050661;GO:0005743;
GHHK01008306_1__171_833___	PTHR11726	SF:PTHR11726:SF10;NAME:QM protein;  GO-Annotations:GO:0003735;GO:0000027;GO:0022625;
GHHK01014800_1__138_2426___	PTHR18896	SF:PTHR18896:SF60;NAME:;
GHHK01017874_1__177_3008___	PTHR18896	SF:PTHR18896:SF60;NAME:;
GHHK01017975_1__334_903___	PTHR12757	SF:PTHR12757:SF1;NAME:Tumor necrosis factor alpha-induced protein 8-like protein;  GO-Annotations:GO:0005737;
GHHK01018166_1__79_1032___	PTHR12866	SF:PTHR12866:SF2;NAME:Ubiquitin-like-conjugating enzyme ATG3;  GO-Annotations:GO:0000153;GO:0000422;GO:0044804;GO:0019776;GO:0005829;GO:0000045;
