name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCC__gi|0|gb|GFVL01041785.1|.p1,ABCC,1019,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01041785.1|.p1,__ABCC__gi|0|gb|GFVL01041785.1|.p1
__ABCC__gi|0|gb|GFVL01049237.1|.p1,ABCC,1081,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01049237.1|.p1,__ABCC__gi|0|gb|GFVL01049237.1|.p1
__ABCC__gi|0|gb|GFVL01055679.1|.p1,ABCC,948,1,Present,Present,Present,__ABCC__gi|0|gb|GFVL01055679.1|.p1,__ABCC__gi|0|gb|GFVL01055679.1|.p1
__ABCC__gi|0|gb|GFVL01057426.1|.p1,ABCC,364,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01057426.1|.p1,__ABCC__gi|0|gb|GFVL01057426.1|.p1
__ABCC__gi|0|gb|GFVL01059308.1|.p1,ABCC,1126,2,Present,Present,Present,__ABCC__gi|0|gb|GFVL01059308.1|.p1,__ABCC__gi|0|gb|GFVL01059308.1|.p1
__ABCC__gi|0|gb|GFVL01064712.1|.p1,ABCC,541,1,Present,Absent,Present,__ABCC__gi|0|gb|GFVL01064712.1|.p1,__ABCC__gi|0|gb|GFVL01064712.1|.p1
__ABCC__gi|0|gb|GFVL01065441.1|.p1,ABCC,480,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01065441.1|.p1,__ABCC__gi|0|gb|GFVL01065441.1|.p1
__ABCC__gi|0|gb|GFVL01073811.1|.p1,ABCC,391,1,Absent,Present,Absent,__ABCC__gi|0|gb|GFVL01073811.1|.p1,__ABCC__gi|0|gb|GFVL01073811.1|.p1
__ABCC__gi|0|gb|GFVL01076884.1|.p1,ABCC,439,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01076884.1|.p1,__ABCC__gi|0|gb|GFVL01076884.1|.p1
__ABCC__gi|0|gb|GFVL01079153.1|.p1,ABCC,320,1,Present,Present,Absent,__ABCC__gi|0|gb|GFVL01079153.1|.p1,__ABCC__gi|0|gb|GFVL01079153.1|.p1
__ABCC__gi|0|gb|GFVL01081855.1|.p1,ABCC,265,1,Absent,Present,Absent,__ABCC__gi|0|gb|GFVL01081855.1|.p1,__ABCC__gi|0|gb|GFVL01081855.1|.p1
__ABCC__gi|0|gb|GFVL01082413.1|.p1,ABCC,460,1,Absent,Present,Present,__ABCC__gi|0|gb|GFVL01082413.1|.p1,__ABCC__gi|0|gb|GFVL01082413.1|.p1
__ABCC__gi|0|gb|GFVL01082465.1|.p1,ABCC,319,1,Absent,Present,Absent,__ABCC__gi|0|gb|GFVL01082465.1|.p1,__ABCC__gi|0|gb|GFVL01082465.1|.p1
__ABCD__gi|0|gb|GFVL01019474.1|.p1,ABCD,842,1,Present,Present,Present,__ABCD__gi|0|gb|GFVL01019474.1|.p1,__ABCD__gi|0|gb|GFVL01019474.1|.p1
__ABCD__gi|0|gb|GFVL01051368.1|.p1,ABCD,558,1,Present,Present,Present,__ABCD__gi|0|gb|GFVL01051368.1|.p1,__ABCD__gi|0|gb|GFVL01051368.1|.p1
__ABCD__gi|0|gb|GFVL01060010.1|.p1,ABCD,328,1,Present,Present,Present,__ABCD__gi|0|gb|GFVL01060010.1|.p1,__ABCD__gi|0|gb|GFVL01060010.1|.p1
__ABCE__gi|0|gb|GFVL01056145.1|.p1,ABCE,629,2,Present,Present,Present,__ABCE__gi|0|gb|GFVL01056145.1|.p1,__ABCE__gi|0|gb|GFVL01056145.1|.p1
__ABCF__gi|0|gb|GFVL01022721.1|.p1,ABCF,299,1,Absent,Present,Absent,__ABCF__gi|0|gb|GFVL01022721.1|.p1,__ABCF__gi|0|gb|GFVL01022721.1|.p1
__ABCF__gi|0|gb|GFVL01038386.1|.p1,ABCF,624,2,Present,Present,Present,__ABCF__gi|0|gb|GFVL01038386.1|.p1,__ABCF__gi|0|gb|GFVL01038386.1|.p1
__ABCF__gi|0|gb|GFVL01059335.1|.p1,ABCF,898,2,Present,Present,Present,__ABCF__gi|0|gb|GFVL01059335.1|.p1,__ABCF__gi|0|gb|GFVL01059335.1|.p1
__ABCF__gi|0|gb|GFVL01084414.1|.p1,ABCF,714,2,Present,Present,Present,__ABCF__gi|0|gb|GFVL01084414.1|.p1,__ABCF__gi|0|gb|GFVL01084414.1|.p1
__ABCG__gi|0|gb|GFVL01003280.1|.p1,ABCG,710,1,Present,Present,Present,__ABCG__gi|0|gb|GFVL01003280.1|.p1,__ABCG__gi|0|gb|GFVL01003280.1|.p1
__ABCG__gi|0|gb|GFVL01021989.1|.p1,ABCG,644,1,Present,Present,Absent,__ABCG__gi|0|gb|GFVL01021989.1|.p1,__ABCG__gi|0|gb|GFVL01021989.1|.p1
__ABCG__gi|0|gb|GFVL01024882.1|.p1,ABCG,881,1,Present,Absent,Absent,__ABCG__gi|0|gb|GFVL01024882.1|.p1,__ABCG__gi|0|gb|GFVL01024882.1|.p1
__ABCG__gi|0|gb|GFVL01025052.1|.p1,ABCG,615,1,Present,Present,Present,__ABCG__gi|0|gb|GFVL01025052.1|.p1,__ABCG__gi|0|gb|GFVL01025052.1|.p1
__ABCG__gi|0|gb|GFVL01028383.1|.p1,ABCG,414,1,Present,Present,Present,__ABCG__gi|0|gb|GFVL01028383.1|.p1,__ABCG__gi|0|gb|GFVL01028383.1|.p1
__ABCG__gi|0|gb|GFVL01038869.1|.p1,ABCG,639,1,Present,Present,Present,__ABCG__gi|0|gb|GFVL01038869.1|.p1,__ABCG__gi|0|gb|GFVL01038869.1|.p1
__ABCG__gi|0|gb|GFVL01043355.1|.p1,ABCG,975,1,Present,Absent,Absent,__ABCG__gi|0|gb|GFVL01043355.1|.p1,__ABCG__gi|0|gb|GFVL01043355.1|.p1
__ABCG__gi|0|gb|GFVL01049784.1|.p1,ABCG,698,1,Present,Present,Present,__ABCG__gi|0|gb|GFVL01049784.1|.p1,__ABCG__gi|0|gb|GFVL01049784.1|.p1
__ABCG__gi|0|gb|GFVL01063431.1|.p1,ABCG,1063,1,Present,Present,Present,__ABCG__gi|0|gb|GFVL01063431.1|.p1,__ABCG__gi|0|gb|GFVL01063431.1|.p1
