GHHK01014718.1|:1-2064(+)
GHHK01004379.1|:115-1287(+)
GHHK01013649.1|:81-2966(+)
GHHK01028965.1|:94-2028(+)
GHHK01014591.1|:237-650(+)
GHHK01006390.1|:1-711(+)
GHHK01016890.1|:109-1332(+)
GHHK01005833.1|:255-1277(+)
GHHK01027632.1|:107-1261(+)
GHHK01019590.1|:111-2714(+)
GHHK01005262.1|:1526-11140(+)
GHHK01014441.1|:108-896(+)
GHHK01009307.1|:85-708(+)
GHHK01007297.1|:82-13293(+)
GHHK01021658.1|:194-1297(+)
GHHK01012012.1|:326-1198(+)
GHHK01019293.1|:178-3093(+)
GHHK01001186.1|:1-465(+)
GHHK01013711.1|:740-1621(+)
GHHK01010470.1|:3-941(+)
GHHK01026642.1|:136-1035(+)
GHHK01027543.1|:2-427(+)
GHHK01007564.1|:2-643(+)
GHHK01006862.1|:3-3344(+)
GHHK01017687.1|:1-1032(+)
GHHK01026835.1|:112-1464(+)
GHHK01017571.1|:139-1749(+)
GHHK01012867.1|:2-319(-)
GHHK01016338.1|:153-785(+)
GHHK01005534.1|:79-441(+)
GHHK01013126.1|:81-2654(+)
GHHK01001822.1|:169-2202(+)
GHHK01012880.1|:84-539(+)
GHHK01018963.1|:36-845(+)
GHHK01029149.1|:45-1202(+)
GHHK01014883.1|:119-1969(+)
GHHK01013061.1|:124-1719(+)
GHHK01009467.1|:3-1037(+)
GHHK01007788.1|:66-2273(+)
GHHK01016178.1|:1-447(+)
GHHK01014758.1|:122-865(+)
GHHK01001302.1|:105-3614(+)
GHHK01012733.1|:115-882(+)
GHHK01016305.1|:1-2808(+)
GHHK01019514.1|:1-1365(+)
GHHK01009081.1|:142-669(+)
GHHK01012270.1|:116-718(+)
GHHK01012308.1|:89-2488(+)
GHHK01026812.1|:1-345(+)
GHHK01009403.1|:403-4215(+)
GHHK01000260.1|:2-307(+)
GHHK01010889.1|:87-1379(+)
GHHK01019792.1|:1-396(+)
GHHK01019991.1|:117-497(+)
GHHK01005690.1|:91-2979(+)
GHHK01015876.1|:1-1014(+)
GHHK01007283.1|:3-359(+)
GHHK01018696.1|:94-2694(+)
GHHK01019170.1|:197-7120(+)
GHHK01010849.1|:55-537(+)
GHHK01008600.1|:3-938(+)
GHHK01014687.1|:177-1163(+)
GHHK01012718.1|:71-1513(+)
GHHK01004861.1|:2-556(+)
GHHK01017229.1|:31-705(+)
GHHK01019342.1|:401-2317(+)
GHHK01018018.1|:220-1335(+)
GHHK01009336.1|:139-864(+)
GHHK01013351.1|:14-8500(+)
GHHK01004784.1|:3-5897(+)
GHHK01016803.1|:124-1482(+)
GHHK01012254.1|:112-729(+)
GHHK01016911.1|:112-2649(+)
GHHK01018866.1|:1-576(+)
GHHK01008653.1|:73-1194(+)
GHHK01009711.1|:245-2470(+)
GHHK01011709.1|:93-470(+)
GHHK01010891.1|:117-554(+)
GHHK01016043.1|:176-2311(+)
GHHK01017018.1|:139-1515(+)
GHHK01030223.1|:1-543(+)
GHHK01014936.1|:84-1748(+)
GHHK01012192.1|:123-980(+)
GHHK01004695.1|:149-745(+)
GHHK01029948.1|:230-667(+)
GHHK01009007.1|:2-367(-)
GHHK01008776.1|:85-696(+)
GHHK01012363.1|:1-987(+)
GHHK01019871.1|:27-413(+)
GHHK01022425.1|:66-614(+)
GHHK01013312.1|:115-1197(+)
GHHK01008626.1|:91-639(+)
GHHK01009598.1|:100-531(+)
GHHK01000412.1|:64-426(+)
GHHK01025772.1|:1-1056(+)
GHHK01019880.1|:181-966(+)
GHHK01009922.1|:150-1670(+)
GHHK01010702.1|:178-627(+)
GHHK01014464.1|:63-2792(+)
GHHK01016294.1|:3-929(+)
GHHK01017898.1|:81-1148(+)
GHHK01013128.1|:144-1331(+)
GHHK01018641.1|:2-1015(+)
GHHK01001232.1|:1-987(+)
GHHK01010608.1|:343-1485(+)
GHHK01018797.1|:2-616(+)
GHHK01004356.1|:3-1844(+)
GHHK01010674.1|:116-1282(+)
GHHK01019650.1|:351-1016(+)
GHHK01008304.1|:136-2712(+)
GHHK01006395.1|:2-745(+)
GHHK01008969.1|:189-1367(+)
GHHK01007236.1|:1-1539(+)
GHHK01013625.1|:203-1372(+)
GHHK01014677.1|:3-857(+)
GHHK01009020.1|:293-1174(+)
GHHK01012493.1|:45-458(+)
GHHK01015481.1|:52-1491(+)
GHHK01007451.1|:219-6203(+)
GHHK01015669.1|:1-1200(+)
GHHK01014419.1|:115-1017(+)
GHHK01008528.1|:80-880(+)
GHHK01026670.1|:178-1131(+)
GHHK01016486.1|:118-927(+)
GHHK01021719.1|:117-926(+)
GHHK01020280.1|:87-1418(+)
GHHK01001188.1|:103-846(+)
GHHK01019567.1|:96-1181(+)
GHHK01006221.1|:51-1484(+)
GHHK01026747.1|:123-602(+)
GHHK01020652.1|:467-985(+)
GHHK01005005.1|:113-3961(+)
GHHK01000352.1|:3-2063(+)
GHHK01019396.1|:81-1400(+)
GHHK01009489.1|:3-674(+)
GHHK01026678.1|:353-1861(+)
GHHK01011592.1|:2-451(+)
GHHK01009659.1|:601-2154(+)
GHHK01014427.1|:184-1728(+)
GHHK01015037.1|:1-1332(+)
GHHK01019431.1|:105-977(+)
GHHK01016458.1|:208-3783(+)
GHHK01016464.1|:154-858(+)
GHHK01019391.1|:170-1213(+)
GHHK01017707.1|:95-556(+)
GHHK01013167.1|:30-1115(+)
GHHK01011556.1|:376-2886(+)
GHHK01019589.1|:115-918(+)
GHHK01010234.1|:107-1108(+)
GHHK01001596.1|:28-378(+)
GHHK01014727.1|:272-2107(+)
GHHK01014647.1|:150-1343(+)
GHHK01016274.1|:77-751(+)
GHHK01026763.1|:1-444(+)
GHHK01008586.1|:2-490(+)
K1C10_HUMAN
GHHK01013687.1|:189-2264(+)
GHHK01004388.1|:284-1783(+)
GHHK01026656.1|:176-2626(+)
GHHK01005294.1|:1-1077(+)
GHHK01017834.1|:161-1387(+)
GHHK01015941.1|:1-1632(+)
GHHK01005731.1|:169-558(+)
GHHK01011116.1|:219-1817(+)
GHHK01013740.1|:116-1576(+)
GHHK01009798.1|:3-644(+)
GHHK01019143.1|:131-2398(+)
GHHK01021716.1|:1-693(+)
GHHK01009804.1|:1-567(-)
GHHK01017961.1|:108-2846(+)
GHHK01014320.1|:84-1484(+)
GHHK01013999.1|:131-757(+)
GHHK01015223.1|:88-1683(+)
GHHK01013969.1|:43-2619(+)
GHHK01008459.1|:100-1038(+)
GHHK01010693.1|:353-4729(+)
GHHK01009086.1|:229-1233(+)
GHHK01011976.1|:471-953(+)
GHHK01006352.1|:3-1550(+)
GHHK01013485.1|:305-1243(+)
GHHK01016240.1|:1391-2560(+)
GHHK01010723.1|:61-2205(+)
GHHK01008760.1|:1-714(+)
GHHK01016345.1|:81-1046(+)
GHHK01012723.1|:88-705(+)
GHHK01019276.1|:78-713(+)
GHHK01007191.1|:1-501(-)
GHHK01009797.1|:3-671(-)
GHHK01006685.1|:72-1025(+)
GHHK01002739.1|:3-902(+)
GHHK01008579.1|:390-1451(+)
GHHK01015120.1|:144-707(+)
GHHK01004504.1|:610-4926(+)
GHHK01030123.1|:100-1116(+)
GHHK01007139.1|:177-1613(+)
GHHK01010265.1|:3-635(+)
GHHK01018164.1|:40-1065(+)
GHHK01015773.1|:90-4292(+)
GHHK01010285.1|:51-470(+)
GHHK01004720.1|:91-2853(+)
GHHK01007554.1|:111-518(+)
GHHK01007907.1|:197-895(+)
GHHK01001535.1|:112-1881(+)
GHHK01019779.1|:105-800(+)
GHHK01004933.1|:3-1580(+)
GHHK01015174.1|:328-4644(+)
GHHK01005686.1|:169-858(+)
GHHK01012994.1|:226-5274(+)
GHHK01004498.1|:3-800(+)
GHHK01007175.1|:98-1420(+)
GHHK01018728.1|:235-1965(+)
GHHK01013869.1|:133-918(+)
GHHK01005144.1|:3-818(+)
GHHK01004916.1|:76-1263(+)
GHHK01013009.1|:67-1710(+)
GHHK01006800.1|:382-3273(+)
GHHK01018369.1|:195-1529(+)
GHHK01011895.1|:3-1370(+)
GHHK01004358.1|:93-1628(+)
GHHK01013452.1|:617-2290(+)
GHHK01017113.1|:50-2635(+)
GHHK01015013.1|:1-621(+)
GHHK01013688.1|:2-1456(+)
GHHK01009060.1|:173-1420(+)
GHHK01016882.1|:115-3945(+)
GHHK01001438.1|:132-626(+)
GHHK01020619.1|:1-303(+)
GHHK01018108.1|:124-600(+)
GHHK01029289.1|:90-419(+)
ALBU_HUMAN
GHHK01015587.1|:198-2930(+)
GHHK01020655.1|:168-1889(+)
GHHK01013144.1|:3-527(+)
GHHK01017397.1|:226-4788(+)
GHHK01015577.1|:2-1303(+)
GHHK01014371.1|:2-1261(+)
GHHK01016546.1|:130-1350(+)
GHHK01006421.1|:105-1343(+)
GHHK01007974.1|:119-1987(+)
GHHK01018064.1|:111-1568(+)
GHHK01007259.1|:2-1708(+)
GHHK01010301.1|:359-1099(+)
GHHK01010360.1|:3-428(-)
GHHK01006554.1|:134-4750(+)
GHHK01014034.1|:21-1178(+)
GHHK01014754.1|:103-1440(+)
GHHK01010068.1|:98-1108(+)
GHHK01005072.1|:1-831(+)
GHHK01009063.1|:1-846(+)
GHHK01016998.1|:2-490(+)
GHHK01012170.1|:171-707(+)
GHHK01026493.1|:100-1221(+)
GHHK01000282.1|:1-369(+)
GHHK01023258.1|:45-683(+)
GHHK01007911.1|:224-1819(+)
GHHK01008306.1|:171-833(+)
GHHK01007401.1|:101-1261(+)
GHHK01015870.1|:148-699(+)
GHHK01015511.1|:32-1936(+)
GHHK01010607.1|:1-858(+)
GHHK01004354.1|:93-548(+)
GHHK01002633.1|:3-644(+)
GHHK01006379.1|:166-1422(+)
GHHK01028794.1|:2-301(+)
GHHK01009377.1|:188-1024(+)
GHHK01012262.1|:159-4715(+)
GHHK01009822.1|:167-1183(+)
GHHK01009849.1|:146-817(+)
GHHK01004402.1|:1-1668(+)
GHHK01030107.1|:2-631(+)
GHHK01009697.1|:104-715(+)
GHHK01023080.1|:1-309(+)
GHHK01014243.1|:98-1285(+)
GHHK01008247.1|:52-375(+)
GHHK01017887.1|:182-1921(+)
GHHK01009208.1|:83-913(+)
GHHK01015182.1|:136-1695(+)
GHHK01010900.1|:62-586(+)
GHHK01007650.1|:102-881(+)
GHHK01016612.1|:116-883(+)
GHHK01017089.1|:2-1297(+)
GHHK01006965.1|:37-618(+)
GHHK01008059.1|:28-744(+)
GHHK01008881.1|:95-865(+)
GHHK01013924.1|:190-1989(+)
GHHK01017011.1|:1-417(+)
GHHK01009085.1|:2-610(+)
GHHK01000827.1|:2-1264(+)
GHHK01022373.1|:3-1649(+)
GHHK01009319.1|:170-1261(+)
GHHK01026863.1|:202-2466(+)
GHHK01010752.1|:273-2963(+)
GHHK01008088.1|:31-1503(+)
GHHK01012240.1|:162-1496(+)
GHHK01010256.1|:101-1327(+)
GHHK01008912.1|:29-1207(+)
GHHK01016664.1|:103-441(+)
K2C1_HUMAN
GHHK01007065.1|:2-616(+)
GHHK01018359.1|:794-1816(+)
GHHK01017188.1|:208-2274(+)
GHHK01014797.1|:1-645(+)
GHHK01007278.1|:107-2194(+)
GHHK01010851.1|:1-849(+)
GHHK01015446.1|:149-1132(+)
GHHK01029151.1|:149-2002(+)
GHHK01006995.1|:157-987(+)
GHHK01004999.1|:114-791(+)
GHHK01010725.1|:2-352(+)
GHHK01012096.1|:166-1362(+)
GHHK01022048.1|:131-1372(+)
GHHK01018568.1|:156-737(+)
GHHK01016920.1|:2-1351(+)
GHHK01016726.1|:145-1143(+)
GHHK01015734.1|:2-1438(+)
GHHK01000367.1|:2-871(+)
GHHK01014416.1|:2-409(+)
GHHK01008003.1|:1-957(+)
GHHK01017338.1|:2-469(+)
GHHK01016208.1|:177-1010(+)
GHHK01014935.1|:209-2242(+)
GHHK01019839.1|:1-387(+)
GHHK01007704.1|:171-3062(+)
GHHK01020645.1|:67-627(+)
GHHK01017708.1|:72-875(+)
GHHK01012566.1|:26-673(-)
GHHK01016837.1|:209-1603(+)
GHHK01010334.1|:199-3096(+)
GHHK01019682.1|:43-897(+)
GHHK01001525.1|:1-366(+)
GHHK01015708.1|:105-1127(+)
GHHK01008614.1|:71-2350(+)
GHHK01007035.1|:275-1744(+)
GHHK01010998.1|:73-849(+)
GHHK01016617.1|:79-729(+)
GHHK01000554.1|:74-2458(+)
GHHK01015735.1|:1-378(+)
GHHK01014076.1|:208-2457(+)
GHHK01011089.1|:40-498(+)
GHHK01013487.1|:138-4343(+)
GHHK01016225.1|:127-1338(+)
GHHK01012862.1|:149-1129(+)
GHHK01006649.1|:1-801(+)
GHHK01005550.1|:62-2413(+)
GHHK01018762.1|:3-707(+)
GHHK01001414.1|:167-2863(+)
GHHK01016348.1|:73-1713(+)
GHHK01014004.1|:2-451(+)
GHHK01016601.1|:241-1071(+)
GHHK01010049.1|:156-839(+)
GHHK01018166.1|:79-1032(+)
GHHK01013801.1|:59-421(+)
GHHK01025421.1|:206-1072(+)
GHHK01007369.1|:121-3705(+)
GHHK01010142.1|:218-1858(+)
GHHK01001555.1|:1-414(+)
GHHK01008984.1|:30-872(+)
GHHK01017524.1|:168-1166(+)
GHHK01011035.1|:109-468(+)
GHHK01015849.1|:71-1726(+)
GHHK01008764.1|:1-1206(+)
GHHK01000499.1|:46-663(+)
GHHK01011072.1|:173-1210(+)
GHHK01015012.1|:113-2908(+)
GHHK01010603.1|:72-2063(+)
GHHK01026756.1|:310-1131(+)
GHHK01012916.1|:69-920(+)
GHHK01020499.1|:798-1736(+)
GHHK01011653.1|:101-1393(+)
GHHK01030122.1|:3-539(+)
GHHK01018077.1|:107-415(+)
GHHK01007230.1|:99-1898(+)
GHHK01010351.1|:209-763(+)
GHHK01016211.1|:267-863(+)
GHHK01000353.1|:1-630(+)
GHHK01005341.1|:146-1471(+)
GHHK01013048.1|:66-1223(+)
GHHK01006650.1|:288-1403(+)
GHHK01012148.1|:59-1633(+)
GHHK01013594.1|:304-3309(+)
GHHK01018088.1|:210-1586(+)
GHHK01008425.1|:155-1342(+)
GHHK01014820.1|:179-1105(+)
GHHK01017618.1|:166-1158(+)
GHHK01009326.1|:147-2900(+)
GHHK01006485.1|:1-384(+)
GHHK01015581.1|:186-3272(+)
GHHK01017762.1|:50-487(+)
GHHK01017565.1|:150-1724(+)
GHHK01019168.1|:470-1138(+)
GHHK01010832.1|:151-1440(+)
GHHK01008504.1|:141-1070(+)
GHHK01013978.1|:112-2688(+)
GHHK01004294.1|:111-1007(+)
GHHK01011331.1|:2-637(+)
GHHK01019889.1|:2-307(+)
GHHK01011379.1|:291-1421(+)
GHHK01010825.1|:93-1052(+)
GHHK01016518.1|:134-2572(+)
GHHK01004128.1|:3-305(+)
GHHK01013040.1|:97-453(+)
GHHK01012259.1|:77-2545(+)
GHHK01015489.1|:205-1194(+)
GHHK01014666.1|:103-879(+)
GHHK01001854.1|:95-904(+)
GHHK01007895.1|:88-768(+)
GHHK01004493.1|:83-442(+)
GHHK01004650.1|:146-1354(+)
GHHK01013866.1|:37-903(+)
GHHK01002284.1|:184-1773(+)
GHHK01017614.1|:109-1656(+)
GHHK01008465.1|:115-1293(+)
GHHK01016712.1|:1-1212(+)
GHHK01015175.1|:44-1486(+)
GHHK01012492.1|:137-1417(+)
GHHK01005317.1|:163-1053(+)
GHHK01011316.1|:88-693(+)
GHHK01017279.1|:893-1918(+)
GHHK01017367.1|:119-1018(+)
GHHK01005505.1|:74-1357(+)
GHHK01014913.1|:120-1712(+)
GHHK01006147.1|:123-2318(+)
GHHK01006320.1|:1-627(+)
GHHK01017444.1|:403-2202(+)
GHHK01017541.1|:109-1635(+)
GHHK01000390.1|:27-371(+)
GHHK01014852.1|:246-1856(+)
GHHK01012307.1|:99-2495(+)
GHHK01012850.1|:53-2626(+)
GHHK01012611.1|:94-1224(+)
GHHK01013118.1|:207-1283(+)
GHHK01016782.1|:162-2342(+)
GHHK01014723.1|:331-801(+)
GHHK01001815.1|:56-373(+)
GHHK01029332.1|:1-306(+)
GHHK01009112.1|:3-1070(+)
GHHK01009866.1|:1-399(+)
GHHK01005977.1|:196-930(+)
GHHK01009715.1|:1-753(+)
GHHK01003968.1|:1-2664(+)
GHHK01017993.1|:111-1148(+)
GHHK01000350.1|:2-583(+)
GHHK01010269.1|:443-1882(+)
GHHK01017605.1|:192-1187(+)
GHHK01011303.1|:117-2381(+)
GHHK01010521.1|:91-1086(+)
GHHK01011403.1|:117-1553(+)
GHHK01019226.1|:1-1224(+)
GHHK01014150.1|:319-984(+)
GHHK01013073.1|:2-2170(+)
GHHK01001110.1|:2-1786(+)
GHHK01005079.1|:2-1330(+)
GHHK01014772.1|:169-2298(+)
GHHK01000610.1|:32-538(+)
GHHK01009471.1|:182-1546(+)
GHHK01001196.1|:2-421(-)
GHHK01002367.1|:96-833(+)
GHHK01015659.1|:3-434(+)
GHHK01010036.1|:1-1719(+)
GHHK01014887.1|:44-1177(+)
GHHK01025331.1|:221-1963(+)
GHHK01014609.1|:71-871(+)
GHHK01005832.1|:99-2045(+)
GHHK01015906.1|:131-1576(+)
GHHK01007931.1|:2-619(+)
GHHK01028590.1|:102-797(+)
GHHK01012111.1|:93-1529(+)
GHHK01001065.1|:3-2870(+)
GHHK01016442.1|:138-1691(+)
GHHK01006097.1|:42-1910(+)
GHHK01005235.1|:1-777(+)
GHHK01005383.1|:181-4836(+)
GHHK01011018.1|:224-2908(+)
GHHK01014241.1|:125-2284(+)
GHHK01012178.1|:88-678(+)
GHHK01007310.1|:2-637(+)
GHHK01016628.1|:36-14684(+)
GHHK01005065.1|:1-1008(+)
GHHK01019033.1|:162-2981(+)
GHHK01009810.1|:111-3827(+)
GHHK01012921.1|:272-1597(+)
GHHK01008160.1|:97-768(+)
GHHK01029203.1|:126-1787(+)
GHHK01000364.1|:52-501(+)
TRYP_PIG
GHHK01018908.1|:132-719(+)
GHHK01014031.1|:22-1311(+)
GHHK01012425.1|:115-1263(+)
GHHK01020002.1|:164-4453(+)
GHHK01017284.1|:96-503(+)
GHHK01018165.1|:85-1008(+)
GHHK01026753.1|:101-643(+)
GHHK01015247.1|:182-712(+)
GHHK01011488.1|:95-475(+)
GHHK01006551.1|:121-1527(+)
GHHK01007597.1|:44-1288(+)
GHHK01012129.1|:334-2124(+)
GHHK01029958.1|:108-965(+)
GHHK01018972.1|:75-1466(+)
GHHK01008521.1|:2-730(+)
GHHK01008093.1|:97-1560(+)
GHHK01007366.1|:408-4295(+)
GHHK01009014.1|:109-1872(+)
GHHK01026974.1|:66-485(+)
GHHK01001957.1|:238-675(+)
GHHK01005525.1|:96-1670(+)
GHHK01015254.1|:104-1987(+)
GHHK01004639.1|:3-1604(+)
GHHK01013394.1|:38-463(+)
GHHK01011243.1|:3-788(+)
GHHK01012577.1|:84-2624(+)
GHHK01016570.1|:819-1781(+)
GHHK01012555.1|:74-514(+)
GHHK01020648.1|:169-2460(+)
GHHK01022021.1|:79-741(+)
GHHK01018126.1|:386-3532(+)
GHHK01018285.1|:263-4384(+)
GHHK01018354.1|:68-892(+)
GHHK01017817.1|:58-1161(+)
GHHK01019440.1|:71-2284(+)
GHHK01006408.1|:238-1176(+)
GHHK01005074.1|:109-2661(+)
GHHK01016553.1|:1-321(+)
GHHK01017864.1|:1-648(+)
GHHK01013463.1|:131-1255(+)
GHHK01027335.1|:1-984(+)
GHHK01022997.1|:69-647(+)
GHHK01006394.1|:116-1792(+)
GHHK01002247.1|:74-4771(+)
GHHK01008410.1|:2-805(+)
GHHK01009021.1|:115-6156(+)
GHHK01019496.1|:71-1375(+)
GHHK01006134.1|:2-307(+)
GHHK01013366.1|:1-834(+)
GHHK01015873.1|:2-1768(+)
GHHK01007933.1|:90-2108(+)
GHHK01025838.1|:172-2010(+)
GHHK01008151.1|:114-3872(+)
GHHK01015306.1|:386-1324(+)
GHHK01001092.1|:133-930(+)
GHHK01001227.1|:125-1570(+)
GHHK01004549.1|:164-892(+)
GHHK01006289.1|:1-315(+)
GHHK01008097.1|:206-1561(+)
GHHK01025726.1|:31-1035(+)
GHHK01011038.1|:226-1377(+)
GHHK01009859.1|:422-1189(+)
GHHK01000356.1|:2-361(+)
GHHK01007840.1|:66-1196(+)
GHHK01015803.1|:67-789(+)
GHHK01008418.1|:1-7005(+)
GHHK01016761.1|:215-1981(+)
GHHK01015640.1|:51-863(+)
GHHK01016934.1|:236-4474(+)
GHHK01022399.1|:69-629(+)
GHHK01010455.1|:1-1368(+)
GHHK01016244.1|:75-1085(+)
GHHK01010655.1|:3-932(+)
GHHK01016156.1|:94-1602(+)
